SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE1824_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
314,45300,41304,"St. Petersburg-Clearwater-Largo, FL",Metropolitan Division,2,959793,39285,77591,36529,61079,224130,278880,242299
314,45300,45294,"Tampa, FL",Metropolitan Division,2,2228035,122305,242668,108910,185366,600610,576030,392146
314,47900,11694,"Arlington-Alexandria-Reston, VA-WV",Metropolitan Division,2,3123676,197511,382286,174199,257678,902493,817630,391879
314,47900,23224,"Frederick-Gaithersburg-Bethesda, MD",Metropolitan Division,2,1333690,79469,158005,73004,104545,349990,359636,209041
314,47900,47764,"Washington, DC-MD",Metropolitan Division,2,1802945,114599,192499,77046,154992,579028,446160,238621
314,12060,12054,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Division,1,4766661,290587,592029,279813,434929,1340002,1235698,593603
314,12060,31924,"Marietta, GA",Metropolitan Division,1,1340186,79018,162663,78651,115117,370434,359175,175128
314,14460,14454,"Boston, MA",Metropolitan Division,1,2057681,105738,195963,94792,213166,601652,526236,320134
314,14460,15764,"Cambridge-Newton-Framingham, MA",Metropolitan Division,1,2441855,128924,249586,117625,228156,672628,651286,393650
314,14460,40484,"Rockingham County-Strafford County, NH",Metropolitan Division,1,445075,20158,42274,21784,41911,107809,132232,78907
314,16980,16984,"Chicago-Naperville-Schaumburg, IL",Metropolitan Division,1,7268489,423762,817542,381111,618110,2083583,1857736,1086645
314,16980,20994,"Elgin, IL",Metropolitan Division,1,748806,45055,95969,47256,75367,191663,192104,101392
314,16980,29404,"Lake County, IL",Metropolitan Division,1,714336,39840,88163,44395,72447,170513,194500,104478
314,16980,29414,"Lake County-Porter County-Jasper County, IN",Metropolitan Division,1,718673,41145,84524,40852,59836,180105,189606,122605
314,19100,19124,"Dallas-Plano-Irving, TX",Metropolitan Division,1,5129916,338713,670660,306238,465454,1510129,1265352,573370
314,19100,23104,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division,1,2507482,164516,334147,153427,225817,706121,619611,303843
314,19820,19804,"Detroit-Dearborn-Livonia, MI",Metropolitan Division,1,1793914,116730,214798,97079,150728,470509,463709,280361
314,19820,47664,"Warren-Troy-Farmington Hills, MI",Metropolitan Division,1,2598476,137007,271559,134623,203890,656755,739369,455273
314,31080,11244,"Anaheim-Santa Ana-Irvine, CA",Metropolitan Division,1,3186997,180454,349797,166078,288975,869503,852046,480144
314,31080,31084,"Los Angeles-Long Beach-Glendale, CA",Metropolitan Division,1,10013976,554836,1090785,492223,907022,3001162,2559382,1408566
314,33100,22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Metropolitan Division,1,1944381,109681,207909,94249,146865,519563,535225,330889
314,33100,33124,"Miami-Miami Beach-Kendall, FL",Metropolitan Division,1,2701776,153496,274043,125320,218471,744049,742377,444020
314,33100,48424,"West Palm Beach-Boca Raton-Delray Beach, FL",Metropolitan Division,1,1492199,75029,143418,67098,108802,348693,389553,359606
314,35620,29484,"Lakewood-New Brunswick, NJ",Metropolitan Division,1,2489402,144215,281709,134281,206363,594347,684890,443597
314,35620,35004,"Nassau County-Suffolk County, NY",Metropolitan Division,1,2921661,157675,315212,155363,251040,698029,835728,508614
314,35620,35084,"Newark, NJ",Metropolitan Division,1,2220589,129668,254432,119302,188008,569981,619856,339342
314,35620,35614,"New York-Jersey City-White Plains, NY-NJ",Metropolitan Division,1,12450338,765312,1309982,568985,1014638,3743757,3127584,1920080
314,37980,15804,"Camden, NJ",Metropolitan Division,1,1287640,70115,143384,68362,107013,331609,355559,211598
314,37980,33874,"Montgomery County-Bucks County-Chester County, PA",Metropolitan Division,1,2037484,106120,224466,109467,164058,495016,572092,366265
314,37980,37964,"Philadelphia, PA",Metropolitan Division,1,2180629,134693,241789,101095,206156,663043,515213,318640
314,37980,48864,"Wilmington, DE-MD-NJ",Metropolitan Division,1,739267,41272,81693,37920,64464,194741,198950,120227
314,41860,36084,"Oakland-Fremont-Berkeley, CA",Metropolitan Division,1,2848279,157162,309188,140749,228295,843022,744694,425169
314,41860,41884,"San Francisco-San Mateo-Redwood City, CA",Metropolitan Division,1,1638382,79846,135183,59503,111372,567067,420820,264591
314,41860,42034,"San Rafael, CA",Metropolitan Division,1,262321,11862,27161,14117,17537,53625,79430,58589
314,42660,21794,"Everett, WA",Metropolitan Division,1,827953,51502,95264,41574,60907,245375,218968,114363
314,42660,42644,"Seattle-Bellevue-Kent, WA",Metropolitan Division,1,2269697,125548,232845,99113,183294,769679,559292,299926
314,42660,45104,"Tacoma-Lakewood, WA",Metropolitan Division,1,921147,58859,111239,46289,82256,270686,223898,127920
314,45300,41304,"St. Petersburg-Clearwater-Largo, FL",Metropolitan Division,1,959111,39726,77901,36401,60751,223940,279511,240881
314,45300,45294,"Tampa, FL",Metropolitan Division,1,2216180,122556,242347,108052,182966,597435,573981,388843
314,47900,11694,"Arlington-Alexandria-Reston, VA-WV",Metropolitan Division,1,3121435,198809,383163,173606,256730,902783,817249,389095
314,47900,23224,"Frederick-Gaithersburg-Bethesda, MD",Metropolitan Division,1,1333775,79908,158391,72839,104507,350050,360034,208046
310,26420,	23225	,Houston-Pasadena-The Woodlands, TX	Metropolitan Statistical Area,	5,	7510253,			486694,			978751,			461744,			689623,												2165593,			1772415,			955433
